Work Category,Activity Type,Activity Description,Status,Work Order
PM,PM,PM GENSET,CP,211c60d2-6915-4732-bcee-acae6cf3b1ea
PM,PM,PM GENSET,CP,e63c7643-76c2-473f-bf9f-0c7d3522ef89
PD,PI,CBM PUMP INSPECTION BT 3 3/4 JALAN KLANG LAMA PH,CP,8493d08a-9a51-4849-a701-f3c88eaa0b31
PD,MI,CBM MOTOR INSPECTION BT 3 3/4 JALAN KLANG LAMA PH,CP,ac6ae6f2-035c-4cad-bf2e-572149d94c60
PD,SP,CBM STARTER PANEL INSPECTION BT 3 3/4 JALAN KLANG LAMA PH,CP,6fef5555-0e51-4dba-b183-cba16105e78f
PM,PM,PM OUTSOURCE MEKANIKAL DAN ELEKTRIKAL,CP,e1842b1a-b4c5-4ebd-9d13-12b277421ad2
PM,PI,CBM PUMP INSPECTION BT 3 3/4 JALAN KLANG LAMA PUMP HOUSE,CP,af09a291-095d-4a6a-aedb-ee49eb595446
PM,MI,CBM MOTOR INSPECTION BT 3 3/4 JALAN KLANG LAMA PUMP HOUSE,CP,7510e566-8653-4631-a6a8-74b5293a09c9
PM,SP,CBM STARTER PANEL INSPECTION BT 3 3/4 JALAN KLANG LAMA PUMP HOUSE,CP,3342053f-8bb8-4c27-8603-8faa8fb83da2
PM,PM,PM GENSET,CP,d80ba9c3-fed6-4193-bb99-409c43baf13d
PM,PM,PM GENSET,CP,cf37b571-0ca4-4563-8f0e-6c4a3936b70d
PM,PM,PM OUTSOURCE MEKANIKAL DAN ELEKTRIKAL,CP,0e4e2201-223f-4532-8c50-031f1c58093e
PM,PM,PM GENSET,CP,9a8622a2-d3b1-4017-8da7-cf1c23401c5f
PM,PM,PM GENSET,CP,2d752cad-e230-49e8-aa2f-b30b5190e312
