asset_type_id,bottom_water_level,closing_torque,dimention,frequency,infrastructure_status,installation,manufacturer,material_type,no_of_channel,opening_torque,pump_head,staging_height,top_water_level,valve_pressure_rating,vehicle_engine_number,vehicle_insurance_auto_windscreen_insured,vehicle_insurance_date_period_to,vehicle_insurance_sum_insured,vehicle_owner_status,vehicle_puspakom_expired_date,vehicle_roadtax_expired_date,vehicle_seating_capacity,communication_protocol,environmental_performance,horse_power,infrastructure_status_reason,insulation,manufacturer_year,model,no_of_phases,outlet_diameter,revolutions_per_minute,supply_location,type,vehicle_chasis_number,vehicle_insurance_vendor,vehicle_insurance_cover_note_number,vehicle_insurance_no_claim_discount,vehicle_insurance_total_premium,vehicle_register_date,vehicle_spad_permit_date_period_to,vehicle_spad_no_license_operator,vehicle_registration_owner,capacity_size,coverage_range,flow_rate,hysteresis,inlet_diameter,legal_name,manufacture_part_number,motor_current,no_of_stage,power_supply_type,source_from,temperature,valve_diameter,vehicle_engine_capacity,vehicle_model,vehicle_insurance_date_period_from,vehicle_insurance_policy_type,vehicle_puspakom_date_inspection,vehicle_roadtax_rate,vehicle_roadtax_renew_date,vehicle_spad_permit_date_period_from,voltage,asset_status,brand,model_number,bo,bo_status
AIR CIRCUIT BREAKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTUATOR,false,true,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
ADVANCED PILOT VALVE,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
AIR BLOWER,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
AIR COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REFRIGERATED AIR DRYER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR RECEIVER TANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR VALVE,false,false,false,false,false,true,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false
ALARM SYSTEM,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
ALTERNATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
