maintenance_spec_cd,asset_type_cd
SAMPLING-STATION-INSPEC-730D,SAMPLING-STATION
BFLY-VALVE-PH-PERIODIC-INSPC,BUTTERFLY-VALVE
CHECK-VALVE-PH-PERIODIC-INSPEC,CHECK-VALVE
AMR-MAINTENANCE-180D-G-KS-HS-S,AMR-FLOWMETER
ONLINE-ANALYZER-INSP-14D,ONLINE-ANALYZER
SLUICE-VALVE-PH-PERIODIC-INSPC,SLUICE-VALVE
GATE-VALVE-PH-PERIODIC-INSPEC,GATE-VALVE
CHAMBER-MAINTENANCE-WBA-365D,CHAMBER
CABINET-MAINTENANCE-WBA-365D,CABINET
PRV-MAINTENANCE-WBA-365D,PRESSURE-REDUCING-VALVE
STRAINER-MAINTENANCE-WBA-365D,STRAINER
ACTUATOR-PH-INSPECTION,ACTUATOR
CHAMBER-MAINTENANCE-DMZ-120D,CHAMBER
CABINET-MAINTENANCE-DMZ-120D,CABINET
AIR-COMP-PH-PERIODIC-INSPEC,AIR-COMPRESSOR
CHAIN-BLOCK-PH-PERIODIC-INSPEC,CHAIN-BLOCK
AIR-BLOWER-MAINT-PROD-120D,AIR-BLOWER
PRV-MAINTENANCE-DMZ-120D,PRESSURE-REDUCING-VALVE
APV-MAINTENANCE-DMZ-120D,ADVANCED-PILOT-VALVE
BUTV-MAINT-PROD-365D,BUTTERFLY-VALVE
DUST-COLLECTOR-MAINT-PROD-180D,DUST-COLLECTOR
FEEDER-MAINT-PROD-60D,FEEDER
FLOCCULATOR-MAINT-PROD-180D,FLOCCULATOR
SCADA-PANEL-180D-G-KS-HS-SB,SCADA-PANEL
SCADA-PANEL-180D-P-KL,SCADA-PANEL
SCADA-PANEL-180D-KL-K-S-HL,SCADA-PANEL
AMR-MAINTENANCE-180D-P-KL,AMR-FLOWMETER
AMR-MAINTENANCE-180-KL-K-S-HL,AMR-FLOWMETER
CABINET-SCADA-365D-P-KL,CABINET
CABINET-SCADA-365D-G-KS-HS-SB,CABINET
CABINET-SCADA-365D-KL-K-S-HL,CABINET
SRL-DRB200-REACTOR,HEATING-REACTOR
NRL-DRB200-REACTOR,HEATING-REACTOR
SRL-JAR-TEST,JAR-TEST
NRL-JAR-TEST,JAR-TEST
SRL-PH-METER,PH-METER
NRL-PH-METER,PH-METER
SRL-PHOTO-SPECTRO,PHOTOMETER-SPECTROMETER
NRL-PHOTO-SPECTRO,PHOTOMETER-SPECTROMETER
SRL-TURBIDIMETER-QUARTERLY,TURBIDIMETER
SRL-TURBIDIMETER-YEARLY,TURBIDIMETER
NRL-TURBIDIMETER,TURBIDIMETER
SRL-VACUUM-PUMP,PUMP-VACCUM
NRL-VACUUM-PUMP,PUMP-VACCUM
SRL-DISTILLATOR,DISTILLATOR
SRL-INCUBATOR,INCUBATOR
NRL-INCUBATOR,INCUBATOR
