id,asset_id,asset_type,transaction_type,description,bo,bo_status,owning_access_group,effective_datetime,node_id,badge_no,serial_no,pallet_no,handed_over_asset,fixed_asset_no,scada_id,condition_rating,condifence_rating,maintenance_specification,bom_part_id,attached_to_asset_id,vehicle_identification_num,license_number,purchase_order_num,location_id,metrology_firmware,nic_firmware,configuration,warranty_expiration_date,warranty_detail,vendor_part_no,owning_access_group_nam,specification,hex_code,field_1,field_2,submitted_datetime,registered_datetime
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B06,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001394,MT06770204,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B07,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001395,MT06770205,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B08,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001396,MT06770206,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B09,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001397,MT06770207,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B10,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001398,MT06770208,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B11,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001399,MT06770209,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B12,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001400,MT06770210,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B13,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001401,MT06770211,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B14,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001402,MT06770212,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B15,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001403,MT06770213,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B16,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001404,MT06770214,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
,,ACTUATOR,ADD,BR 1 INLET BUTTERFLY VALVE ACTUATOR B17,W1-TrackedGeneralAsset,INRECEIPT,PD-S,2021-01-29T13:45:06+00:00,333421203998,WATR-2001405,MT06770215,,N,,,3,0.3,ACTUATOR-MAINT-PROD-180D,,,,,,,,,,,,,,,,,,2021-03-09T07:00:00+00:00,2021-03-09T07:00:00+00:00
