id,location_type,locatin_disposition,Bo,description,parent_loc_or_org,work_request_approval_profile,owning_org,building,room,position,country,address_1,address_2,address_3,cross_street,city,suburb,state,postal,location_class,main_contact,maintenance_manager,planner,cost_center,rcm_system,environmental_rating,service_condition,duty_cycle,backlog_group,run_to_failure,breaker,runtime_source,tag_number,site_location,point_id,service_area,latitude,longitude,asset_criticality,criticality_reason,gis_id,connected_to_location_id,water_asset_category,land_asset_status,land_ownership_number,take_over_date,take_over_date_source_qt11,take_over_date_source_ccc,land_area_acre,plan_certified_number,plan_pre_computation_number,plan_as_built_number,quit_rent_bill_number,current_rate_of_quit_rent,quit_rent_bill_payment_date,assessment_bill_number,current_rate_Of_assesment,assessment_bill_payment_date,lease_expired_date,remarks,parent_location_name,main_contact_name,maintenance_manager_nam,planner_name,field_1,field_2
,ASSET-LOCATION,W1AC,W1-PlantAssetLocation,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR 10,813164726657,CM-WR-PD-WTP-S,PD-S,RESERVOIR,,,,LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,,PUTRAJAYA,,PJY,62200,,788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,,,,,,W1NO,,,,,,SOUTH,2.90186,101.688086,4,,WTPSE01,,,,,,,,,,,,,,,,,,,,,,,,,
,ASSET-LOCATION,W1AC,W1-PlantAssetLocation,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR 11,813164726657,CM-WR-PD-WTP-S,PD-S,RESERVOIR,,,,LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,,PUTRAJAYA,,PJY,62200,,788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,,,,,,W1NO,,,,,,SOUTH,2.90186,101.688086,4,,WTPSE01,,,,,,,,,,,,,,,,,,,,,,,,,
,ASSET-LOCATION,W1AC,W1-PlantAssetLocation,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR 12,813164726657,CM-WR-PD-WTP-S,PD-S,RESERVOIR,,,,LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,,PUTRAJAYA,,PJY,62200,,788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,,,,,,W1NO,,,,,,SOUTH,2.90186,101.688086,4,,WTPSE01,,,,,,,,,,,,,,,,,,,,,,,,,
,ASSET-LOCATION,W1AC,W1-PlantAssetLocation,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR 13,813164726657,CM-WR-PD-WTP-S,PD-S,RESERVOIR,,,,LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,,PUTRAJAYA,,PJY,62200,,788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,,,,,,W1NO,,,,,,SOUTH,2.90186,101.688086,4,,WTPSE01,,,,,,,,,,,,,,,,,,,,,,,,,
,ASSET-LOCATION,W1AC,W1-PlantAssetLocation,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR 14,813164726657,CM-WR-PD-WTP-S,PD-S,RESERVOIR,,,,LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,,PUTRAJAYA,,PJY,62200,,788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,,,,,,W1NO,,,,,,SOUTH,2.90186,101.688086,4,,WTPSE01,,,,,,,,,,,,,,,,,,,,,,,,,
,ASSET-LOCATION,W1AC,W1-PlantAssetLocation,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR 15,813164726657,CM-WR-PD-WTP-S,PD-S,RESERVOIR,,,,LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,,PUTRAJAYA,,PJY,62200,,788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,,,,,,W1NO,,,,,,SOUTH,2.90186,101.688086,4,,WTPSE01,,,,,,,,,,,,,,,,,,,,,,,,,
,ASSET-LOCATION,W1AC,W1-PlantAssetLocation,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR 16,813164726657,CM-WR-PD-WTP-S,PD-S,RESERVOIR,,,,LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,,PUTRAJAYA,,PJY,62200,,788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,,,,,,W1NO,,,,,,SOUTH,2.90186,101.688086,4,,WTPSE01,,,,,,,,,,,,,,,,,,,,,,,,,
,ASSET-LOCATION,W1AC,W1-PlantAssetLocation,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR 17,813164726657,CM-WR-PD-WTP-S,PD-S,RESERVOIR,,,,LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,,PUTRAJAYA,,PJY,62200,,788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,,,,,,W1NO,,,,,,SOUTH,2.90186,101.688086,4,,WTPSE01,,,,,,,,,,,,,,,,,,,,,,,,,
,ASSET-LOCATION,W1AC,W1-PlantAssetLocation,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR 18,813164726657,CM-WR-PD-WTP-S,PD-S,RESERVOIR,,,,LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,,PUTRAJAYA,,PJY,62200,,788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,,,,,,W1NO,,,,,,SOUTH,2.90186,101.688086,4,,WTPSE01,,,,,,,,,,,,,,,,,,,,,,,,,
,ASSET-LOCATION,W1AC,W1-PlantAssetLocation,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR 19,813164726657,CM-WR-PD-WTP-S,PD-S,RESERVOIR,,,,LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,,PUTRAJAYA,,PJY,62200,,788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,,,,,,W1NO,,,,,,SOUTH,2.90186,101.688086,4,,WTPSE01,,,,,,,,,,,,,,,,,,,,,,,,,
,ASSET-LOCATION,W1AC,W1-PlantAssetLocation,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR 20,813164726657,CM-WR-PD-WTP-S,PD-S,RESERVOIR,,,,LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,,PUTRAJAYA,,PJY,62200,,788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,,,,,,W1NO,,,,,,SOUTH,2.90186,101.688086,4,,WTPSE01,,,,,,,,,,,,,,,,,,,,,,,,,
,ASSET-LOCATION,W1AC,W1-PlantAssetLocation,SUNGAI SEMENYIH WTP-BUILDING-RESERVOIR-BR 21,813164726657,CM-WR-PD-WTP-S,PD-S,RESERVOIR,,,,LOJI PEMBERSIHAN AIR SG SEMENYIH,LEBUH WADI EHSAN,PRESINT 19,,PUTRAJAYA,,PJY,62200,,788707152593,ES-P-WTP-S-MM4,ES-PROD-S-P5,101.3440.2081.000.000.000,,,,,,W1NO,,,,,,SOUTH,2.90186,101.688086,4,,WTPSE01,,,,,,,,,,,,,,,,,,,,,,,,,
