id,asset_bussiness_object,asset_type_code,asset_type_description,status,assessment_class,profile_failure,owned_organisation,instance_organisation,asset_category,asset_service_history
,W1-IOSvcGeneralAsset,ACB,AIR CIRCUIT BREAKER,ACTIVE      ,AIR-CIRCUIT-BREAKER,SWITCHGEAR,,,Electrical,
,W1-TrackedGeneralAsset,ACTUATOR,ACTUATOR,ACTIVE      ,ACTUATOR,ACTUATOR,,,Electrical,
,W1-TrackedGeneralAsset,ADVANCED-PILOT-VALVE,ADVANCED PILOT VALVE,ACTIVE      ,,COMMON,,,Mechanical,
,W1-TrackedGeneralAsset,AIR-BLOWER,AIR BLOWER,ACTIVE      ,AIR-BLOWER,COMMON,,,Mechanical,
,W1-TrackedGeneralAsset,AIR-COMPRESSOR,AIR COMPRESSOR,ACTIVE      ,AIR-COMPRESSOR,AIR-COMPRESSOR,,,Mechanical,
,W1-IOSvcGeneralAsset,AIR-DRYER-REFRIGERATED,REFRIGERATED AIR DRYER,ACTIVE      ,REFRIGERATED-AIR-DRYER,REFRIGERATED-AIR-DRYER,,,Mechanical,
,W1-IOSvcGeneralComponent,AIR-RECEIVER-TANK,AIR RECEIVER TANK,ACTIVE      ,AIR-RECEIVER-TANK,COMMON,,,Mechanical,
,W1-TrackedGeneralAsset,AIR-VALVE,AIR VALVE,ACTIVE      ,VALVE,VALVE,,,Mechanical,
,W1-IOSvcGeneralAsset,ALARM-SYSTEM,ALARM SYSTEM,ACTIVE      ,,COMMON,,,Electrical,
,W1-IOSvcGeneralComponent,ALTERNATOR,ALTERNATOR,ACTIVE      ,GENERATOR,COMMON,,,Electrical,
,W1-TrackedGeneralAsset,ALTITUDE-VALVE,ALTITUDE VALVE,ACTIVE      ,VALVE,VALVE,,,Mechanical,
,CM-SmartMeter,AMR-FLOWMETER,AMR FLOWMETER,ACTIVE      ,FLOWMETER,COMMON,,,Electrical,
,W1-TrackedGeneralComponent,ANALOG-INPUT-MODULE,ANALOG INPUT MODULE,ACTIVE      ,,COMMON,,,Instruments,
,W1-TrackedGeneralComponent,ANALOG-OUTPUT-MODULE,ANALOG OUTPUT MODULE,ACTIVE      ,,COMMON,,,Instruments,
,W1-IOSvcGeneralAsset,AUTOCLAVE,AUTOCLAVE,ACTIVE      ,AUTOCLAVE,COMMON,WQ          ,WQ          ,Lab Equipments,
